Report Title,Type,Field Name,Field Description,Order,Order of Report in System
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Cat 2,Diagnosis Category 2,53,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Cat 3,Diagnosis Category 3,54,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Cat 4,Diagnosis Category 4,55,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag 1,Diagnosis Code 1,56,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag 2,Diagnosis Code 2,57,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag 3,Diagnosis Code 3,58,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag 4,Diagnosis Code 4,59,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Desc 1,Diagnosis Description 1,60,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Desc 2,Diagnosis Description 2,61,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Desc 3,Diagnosis Description 3,62,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Desc 4,Diagnosis Description 4,63,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub1 Grp 1,Diagnosis Sub1 Grouping 1,64,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub2 Grp 1,Diagnosis Sub2 Grouping 1,65,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub1 Grp 2,Diagnosis Sub1 Grouping 2,66,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub2 Grp 1,Diagnosis Sub2 Grouping 1,67,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub1 Grp 2,Diagnosis Sub1 Grouping 2,68,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub2 Grp 2,Diagnosis Sub2 Grouping 2,69,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub1 Grp 3,Diagnosis Sub1 Grouping 3,70,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub2 Grp 3,Diagnosis Sub2 Grouping 3,71,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub1 Grp 4,Diagnosis Sub1 Grouping 4,72,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Sub2 Grp 4,Diagnosis Sub2 Grouping 4,73,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Type 1,Diagnosis Type 1,74,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Type 2,Diagnosis Type 2,75,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Type 3,Diagnosis Type 3,76,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Diag Type 4,Diagnosis Type 4,77,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Month,Month and Year,78,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Age,,79,33
Accounts Receivable>Receivable Analysis>By Type,Columns,0-30,0-30 days,80,33
Accounts Receivable>Receivable Analysis>By Type,Columns,31-60,31-60 days,81,33
Accounts Receivable>Receivable Analysis>By Type,Columns,61-90,61-90 days,82,33
Accounts Receivable>Receivable Analysis>By Type,Columns,91-120,91-120 days,83,33
Accounts Receivable>Receivable Analysis>By Type,Columns,121-150,121-150 days,84,33
Accounts Receivable>Receivable Analysis>By Type,Columns,151-180,151-180 days,85,33
Accounts Receivable>Receivable Analysis>By Type,Columns,181-up,181-up,86,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Total,,87,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Chg Amt,Charge Amount,88,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Total,,89,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Chg Amt,Charge Amount,90,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Third Party Pay,Third Party Payments,91,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Pat Pay Amt,Patient Payments,92,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Third Party Adj,Third Party Adjustments,93,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Pat Adj Amt,,94,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Third Party Ref,Third Party Refunds,95,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Pat Ref Amt,,96,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Net,Ending Accounts Receivable,97,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Out,Outsource Indicator,98,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Out Dt,Outsource Date,99,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Out Agency,Outsource Agency,100,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Reminder Call Opt 0,Enterprise Client Defined 1,101,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Community Code,Community Code,102,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Prim Enc Rate SIM,Primary Encounter Rate Service Item,103,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Prim Enc Rate Amt,Primary Encounter Rate Amount,104,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Sec Enc Rate SIM,Secondary Encounter Rate Service Item,105,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Sec Enc Rate Amt,Secondary Encounter Rate Amount,106,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Ter Enc Rate SIM,Tertiary Encounter Rate Service Item,107,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Ter Enc Rate Amt,Tertiary Encounter Rate Amt,108,33
Accounts Receivable>Receivable Analysis>By Type,Columns,Contracted Ind,Contracted Payer Indicator,109,33
Accounts Receivable>Receivable Analysis>By Type,Filter 1,Process Date,,110,33
Accounts Receivable>Receivable Analysis>By Type,Filter 1,Outsource,,111,33
Accounts Receivable>Receivable Analysis>By Type,Filter 1,Aging Dates,,112,33
Accounts Receivable>Receivable Analysis>By Type,Filter 1,Aging Inv Dates,,113,33
Accounts Receivable>Receivable Analysis>By Type,Filter 1,Unapplied Trans…,,114,33
Accounts Receivable>Receivable Analysis>By Type,Filter 1,Change Status,,115,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Department,,116,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Diagnosis Category,,117,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Diagnosis Codes,,118,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Diagnosis SubGroup 1,,119,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Diagnosis SubGroup 2,,120,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Fin Classes,,121,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Location SubGrp 1,,122,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Location SubGrp 2,,123,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Locations,,124,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Mid-Level Phys,,125,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Payers SubGrp 1,,126,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Payers SubGrp 2,,127,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Practices,,128,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Primary payers,,129,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Provider SubGrp 1,,130,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Provider SubGrp 2,,131,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Referring Phys,,132,33
Accounts Receivable>Receivable Analysis>By Type,Settings List,Rendering Phys,,133,33
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Columns,Prac Name,Practice Name,1,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Columns,Loc Name,Location Name,2,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Columns,E/I/A/B,Source Type,3,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Columns,Enc Rendering,Encounter Rendering Provider,4,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Columns,Src Type,Source Type,5,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Columns,Unappld Amt,Unapplied Amount,6,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Filter 1,Post Date,,7,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Filter 1,Process Date,,8,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Filter 1,Tran Date,,9,34
"Accounts Recievable>Unapplied Amounts by Account, Invoice and Encounter",Settings List,Practices,,10,34
Account Receivable>Unbilled Encounters,Columns,Prac Name,Practice Name,1,35
Account Receivable>Unbilled Encounters,Columns,Sect Name,Selection Name,2,35
Account Receivable>Unbilled Encounters,Columns,Loc Name,Location Name,3,35
Account Receivable>Unbilled Encounters,Columns,Location SubGrp 1 ,Location Subgrouping 1,4,35
Account Receivable>Unbilled Encounters,Columns,Location SubGrp 2,Location Subgrouping 2,5,35
Account Receivable>Unbilled Encounters,Columns,Rendering,Encounter Rendering Provider,6,35
Account Receivable>Unbilled Encounters,Columns,Provider SubGrp 1,Provider Subgrouping 1,7,35
Account Receivable>Unbilled Encounters,Columns,Provider SubGrp 2,Provider Subgrouping 2,8,35
Account Receivable>Unbilled Encounters,Columns,Guar Name,Guarantor Name,9,35
Account Receivable>Unbilled Encounters,Columns,Enc Dt,Encounter Billable Date,10,35
Account Receivable>Unbilled Encounters,Columns,Encounter ,Encounter Number,11,35
Account Receivable>Unbilled Encounters,Columns,Status,Encounter/Charge Status,12,35
Account Receivable>Unbilled Encounters,Columns,Pat Name,Patient Name,13,35
Account Receivable>Unbilled Encounters,Columns,Per Nbr,Person Number,14,35
Account Receivable>Unbilled Encounters,Columns,Addr 1,Address 1,15,35
Account Receivable>Unbilled Encounters,Columns,Addr 2,Address 2,16,35
Account Receivable>Unbilled Encounters,Columns,City ,City,17,35
Account Receivable>Unbilled Encounters,Columns,State ,State,18,35
Account Receivable>Unbilled Encounters,Columns,Zip,Zip Code,19,35
Account Receivable>Unbilled Encounters,Columns,County,County,20,35
Account Receivable>Unbilled Encounters,Columns,SSN,Social Security Number,21,35
Account Receivable>Unbilled Encounters,Columns,Gen,Gender Code,22,35
Account Receivable>Unbilled Encounters,Columns,SSN,Social Security- Nurrber,23,35
Account Receivable>Unbilled Encounters,Columns,Gen,Gender Code,24,35
Account Receivable>Unbilled Encounters,Columns,Mar,Marital Status,25,35
Account Receivable>Unbilled Encounters,Columns,Md Rc,Medical Record Number,26,35
Account Receivable>Unbilled Encounters,Columns,Pat Type,Patient Type,27,35
Account Receivable>Unbilled Encounters,Columns,Birth Dt,Birth Date,28,35
Account Receivable>Unbilled Encounters,Columns,Pat Age,Patient Age,29,35
Account Receivable>Unbilled Encounters,Columns,Pat Age in Years,Patient Age in Years,30,35
Account Receivable>Unbilled Encounters,Columns,Pat Age in Months,Patient Age in Months,31,35
Account Receivable>Unbilled Encounters,Columns,Pat Age in Years (D.,Patient Age in Years on the Date Of Service,32,35
Account Receivable>Unbilled Encounters,Columns,Pat Age in Months (D.,Patient Age in Months on the Date Of Service,33,35
Account Receivable>Unbilled Encounters,Columns,Chg Amt,Charge Amount,34,35
Account Receivable>Unbilled Encounters,Columns,Crg Count,Charge Count,35,35
Account Receivable>Unbilled Encounters,Columns,Bal Amt,Balance Amount,36,35
Account Receivable>Unbilled Encounters,Columns,Admitting,Admitting Provider,37,35
Account Receivable>Unbilled Encounters,Columns,Fst Consult,First Consulting Provider,38,35
Account Receivable>Unbilled Encounters,Columns,Sec Consult,Second Consulting Provider,39,35
Account Receivable>Unbilled Encounters,Columns,Referring,Encounter Referring Provider,40,35
Account Receivable>Unbilled Encounters,Columns,Supervisor,Supervising Provider,41,35
Account Receivable>Unbilled Encounters,Columns,Facility,Facility,42,35
Account Receivable>Unbilled Encounters,Columns,Enc Age,Encounter Age (Calculated by the Current Date - Cre,43,35
Account Receivable>Unbilled Encounters,Columns,Payer Name,Payer Name,44,35
Account Receivable>Unbilled Encounters,Columns,Enc Aye,Encounter Age (Calculated by the Current Date - Cre,45,35
Account Receivable>Unbilled Encounters,Columns,Payer Name,Payer Name,46,35
Account Receivable>Unbilled Encounters,Columns,Sec Payer,Secondary Payer Name,47,35
Account Receivable>Unbilled Encounters,Columns,Ten Payer,Tertiary Payer Name,48,35
Account Receivable>Unbilled Encounters,Columns,Auth Cd,Authorization Code,49,35
Account Receivable>Unbilled Encounters,Columns,Referral Nbr,Referral Code,50,35
Account Receivable>Unbilled Encounters,Columns,Payer SubGrp 1,Payer Subgrouping 1,51,35
Account Receivable>Unbilled Encounters,Columns,Payer SubGrp 2,Payer Subgrouping 2,52,35
Account Receivable>Unbilled Encounters,Columns,Contracted Ind,Contracted Payer Indicator,53,35
Account Receivable>Unbilled Encounters,Columns,Plans,Plan Number,54,35
Account Receivable>Unbilled Encounters,Columns,Policy #,Policy Number,55,35
Account Receivable>Unbilled Encounters,Columns,Group Name,Group Name,56,35
Account Receivable>Unbilled Encounters,Columns,Groups,Group Number,57,35
Account Receivable>Unbilled Encounters,Columns,Fin Class,Financial Class,58,35
Account Receivable>Unbilled Encounters,Columns,First Bill Dt,Final Bill Date,59,35
Account Receivable>Unbilled Encounters,Columns,1st Bill Dt,Last Bill Date,60,35
Account Receivable>Unbilled Encounters,Columns,Pat Rsp Dt,Patient Responsibility Date,61,35
Account Receivable>Unbilled Encounters,Columns,Onset Dt,Onset Date,62,35
Account Receivable>Unbilled Encounters,Columns,Onset Tm,Onset Time,63,35
Account Receivable>Unbilled Encounters,Columns,Acc Occur Cd,Accident Occurrence Code,64,35
Account Receivable>Unbilled Encounters,Columns,Acc Occur St,Accident Occurrence State,65,35
Account Receivable>Unbilled Encounters,Columns,Admit Dt,Admit Date,66,35
Account Receivable>Unbilled Encounters,Columns,Acc Occur St,Accident Occurrence State,67,35
Account Receivable>Unbilled Encounters,Columns,Admit Dt,Admit Date,68,35
Account Receivable>Unbilled Encounters,Columns,Disch Dt,Discharge Date,69,35
Account Receivable>Unbilled Encounters,Columns,Chkin Dt,Check-in Date,70,35
Account Receivable>Unbilled Encounters,Columns,Chkout Dt,Check-out Date,71,35
Account Receivable>Unbilled Encounters,Columns,ETime,Elapsed Time,72,35
Account Receivable>Unbilled Encounters,Columns,Task Cnt,Task Count,73,35
Account Receivable>Unbilled Encounters,Columns,Stmt,Print Statement Indicator,74,35
Account Receivable>Unbilled Encounters,Columns,1st Stmt Dt,Last Statement Date,75,35
Account Receivable>Unbilled Encounters,Columns,Pre 1st,Pre List Indicator,76,35
Account Receivable>Unbilled Encounters,Columns,Pre 1st Dt,Pre List Effective Date,77,35
Account Receivable>Unbilled Encounters,Columns,Col Agency,Collection Agency,78,35
Account Receivable>Unbilled Encounters,Columns,Bad Debt Dt,Bad Debt Date,79,35
Account Receivable>Unbilled Encounters,Columns,Reinstate Dt,Reinstate Date,80,35
Account Receivable>Unbilled Encounters,Columns,Bdg,Account Encounter Budget Indicator,81,35
Account Receivable>Unbilled Encounters,Columns,Co Amt,Insurance-Contract Copay Amount,82,35
Account Receivable>Unbilled Encounters,Columns,Enc Copay Amt,Encounter Copay Amount,83,35
Account Receivable>Unbilled Encounters,Columns,Copay Perc,Copay Percent,84,35
Account Receivable>Unbilled Encounters,Columns,Third Party Pay Amt,Third Party Payments,85,35
Account Receivable>Unbilled Encounters,Columns,Pat Pay Amt,Patient Payments,86,35
Account Receivable>Unbilled Encounters,Columns,Pat Pay Amt on DOS,Patient Payments Made on Date of Service,87,35
Account Receivable>Unbilled Encounters,Columns,Total Pay Amt,Total Encounter Payments,88,35
Account Receivable>Unbilled Encounters,Columns,Pat Pay Amt on DOS,Patient Payments Made on Date of Service,89,35
Account Receivable>Unbilled Encounters,Columns,Total Pay Amt,Total Encounter Payments,90,35
Account Receivable>Unbilled Encounters,Columns,UB Adm Src,Admission Source,91,35
Account Receivable>Unbilled Encounters,Columns,UB Fac Type,Facility Type,92,35
Account Receivable>Unbilled Encounters,Columns,UB Bill Class,Billing Class,93,35
Account Receivable>Unbilled Encounters,Columns,UB Bill Freq,Billing Frequency,94,35
Account Receivable>Unbilled Encounters,Columns,UB Hold Dt,Hold Date (Do not file until this date),95,35
Account Receivable>Unbilled Encounters,Columns,UB OC32a,32a - Occurrence Code,96,35
Account Receivable>Unbilled Encounters,Columns,UB OC32a Dt,32a - Occurrence Date,97,35
Account Receivable>Unbilled Encounters,Columns,UB OC33a,33a - Occurrence Code,98,35
Account Receivable>Unbilled Encounters,Columns,UB OC33a Dt,33a - Occurrence Date,99,35
Account Receivable>Unbilled Encounters,Columns,UB OC34a,34a - Occurrence Code,100,35
Account Receivable>Unbilled Encounters,Columns,UB OC34a Dt,34a - Occurrence Date,101,35
Account Receivable>Unbilled Encounters,Columns,UB OC35a,35a - Occurrence Code,102,35
Account Receivable>Unbilled Encounters,Columns,UB OC35a Dt,35a - Occurrence Date,103,35
Account Receivable>Unbilled Encounters,Columns,UB OC32b,32b - Occurrence Code,104,35
Account Receivable>Unbilled Encounters,Columns,UB OC32b Dt,32b - Occurrence Date,105,35
Account Receivable>Unbilled Encounters,Columns,UB OC33b,33b - Occurrence Code,106,35
Account Receivable>Unbilled Encounters,Columns,UB  OC33b Dt,33b - Occurrence Date,107,35
Account Receivable>Unbilled Encounters,Columns,UB OC34b,34b - Occurrence Code,108,35
Account Receivable>Unbilled Encounters,Columns,UB OC34b Dt,34b - Occurrence Date,109,35
Account Receivable>Unbilled Encounters,Columns,UB OC35b,35b - Occurrence Code,110,35
Account Receivable>Unbilled Encounters,Columns,UB OC34b Dt,34b - Occurrence Date,111,35
Account Receivable>Unbilled Encounters,Columns,UB OC35b,35b- Occurrence Code,112,35
Account Receivable>Unbilled Encounters,Columns,UB OC35bDt,35b- Occurrence Date,113,35
Account Receivable>Unbilled Encounters,Columns,UB VC39a,39a- Value Code,114,35
Account Receivable>Unbilled Encounters,Columns,UB VC39a Amt,39a- Value Code Amount,115,35
Account Receivable>Unbilled Encounters,Columns,UB VC40a,40a- Value Code,116,35
Account Receivable>Unbilled Encounters,Columns,UB VC40aAmt,40a- Value Code Amount,117,35
Account Receivable>Unbilled Encounters,Columns,UB VC41a,41a-  Value Code,118,35
Account Receivable>Unbilled Encounters,Columns,UB VC41a Amt,41a-Value Code Amount,119,35
Account Receivable>Unbilled Encounters,Columns,UB VC39b,39b- Value Code,120,35
Account Receivable>Unbilled Encounters,Columns,UB VC39b Amt,39b- Value Code Amount,121,35
Account Receivable>Unbilled Encounters,Columns,UB VC40b,40b- Value Code,122,35
Account Receivable>Unbilled Encounters,Columns,UB VC40bAmt,40b- Value Code Amount,123,35
Account Receivable>Unbilled Encounters,Columns,UB VC41b,41b- Value Code,124,35
Account Receivable>Unbilled Encounters,Columns,UB VC41b Amt,41b-Value Code Amount,125,35
Account Receivable>Unbilled Encounters,Columns,UB VC39c,39c- Value Code,126,35
Account Receivable>Unbilled Encounters,Columns,UB VC39cAmt,39c-Value Code Amount,127,35
Account Receivable>Unbilled Encounters,Columns,UB VC40c,40c- Value Code,128,35
Account Receivable>Unbilled Encounters,Columns,UB VC40c Amt,40c- Value Code Amount,129,35
Account Receivable>Unbilled Encounters,Columns,UB VC41c,41c- Value Code,130,35
Account Receivable>Unbilled Encounters,Columns,UB VC41c Amt,41c- Value Code Amount,131,35
Account Receivable>Unbilled Encounters,Columns,UB VC39d,39d-Value Code,132,35
Account Receivable>Unbilled Encounters,Columns,UB VC41c Amt,41c - Value Code Amount,133,35
Account Receivable>Unbilled Encounters,Columns,UB VC39d,39d - Value Code,134,35
Account Receivable>Unbilled Encounters,Columns,UB VC39d Amt,39d- Value Code Amount,135,35
Account Receivable>Unbilled Encounters,Columns,UB VC40d,40d - Value Code,136,35
Account Receivable>Unbilled Encounters,Columns,UB VC40d Amt,40d - Value Code Amount,137,35
Account Receivable>Unbilled Encounters,Columns,UB VC41d,41d - Value Code,138,35
Account Receivable>Unbilled Encounters,Columns,UB VC41d Amt,41d-Value Code Amount,139,35
Account Receivable>Unbilled Encounters,Columns,Pat Sts,Patient Status,140,35
Account Receivable>Unbilled Encounters,Columns,Pat Sts Rsn,Patient Status Reason,141,35
Account Receivable>Unbilled Encounters,Columns,Case Nbr,Case Management Number,142,35
Account Receivable>Unbilled Encounters,Columns,Case Desc,Case Management Description,143,35
Account Receivable>Unbilled Encounters,Columns,Case Sts,Case Management Status,144,35
Account Receivable>Unbilled Encounters,Columns,Case Emp,Case Management Employer,145,35
Account Receivable>Unbilled Encounters,Columns,Reminder Call Opt 0.,Enterprise Client Defined 1,146,35
Account Receivable>Unbilled Encounters,Columns,Crt Dt,Create Date,147,35
Account Receivable>Unbilled Encounters,Columns,Created By,Created By,148,35
Account Receivable>Unbilled Encounters,Columns,Mod Dt,Last Modified Date,149,35
Account Receivable>Unbilled Encounters,Columns,Modified By,Last Modified By,150,35
Account Receivable>Unbilled Encounters,Columns,Hold Dt,Hold Date (Do not send Collections Letter until this d .,151,35
Account Receivable>Unbilled Encounters,Columns,Delay Rsn Cd,Delay Reason Code (Reason for the Collections Lett,152,35
Account Receivable>Unbilled Encounters,Columns,Date Last Seen,Date Last Seen,153,35
Account Receivable>Unbilled Encounters,Columns,Spec Prog,Special Program,154,35
Account Receivable>Unbilled Encounters,Columns,Date Last Seen,Date Last Seen,155,35
Account Receivable>Unbilled Encounters,Columns,Spec Prog,Special Program,156,35
Account Receivable>Unbilled Encounters,Columns,Svc Auth Exc,Service Authorization Exception Code,157,35
Account Receivable>Unbilled Encounters,Columns,EPSDT Ref Cond Cd,EPSDT Referral Condition Code,158,35
Account Receivable>Unbilled Encounters,Columns,EPSDT Ref Cd,EPSDT Referral Code,159,35
Account Receivable>Unbilled Encounters,Columns,EPSDT Enc Cd,EPSDT Encounter Condition Code,160,35
Account Receivable>Unbilled Encounters,Columns,EPSOT Enc Cd Other,EPSDT Encounter Code Other,161,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type,Report Type,162,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd,Report Transaction Code,163,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr,Control Number,164,35
Account Receivable>Unbilled Encounters,Columns,Qual Enc,Qualifying Encounter Indicator,165,35
Account Receivable>Unbilled Encounters,Columns,Stmt Ctr,Encounter Statement Counter,166,35
Account Receivable>Unbilled Encounters,Columns,Enc Cnt,Total Encounters Within Date Range,167,35
Account Receivable>Unbilled Encounters,Columns,FQHC Enc Cnt,Total FQHC Encounters Within Date Range,168,35
Account Receivable>Unbilled Encounters,Columns,Fam Pin,Family Planning Indicator,169,35
Account Receivable>Unbilled Encounters,Columns,Prim Enc Rate Bill St,Primary Encounter Rate Billing Status,170,35
Account Receivable>Unbilled Encounters,Columns,Sec Enc Rate Bill Sta,Secondary Encounter Rate Billing Status,171,35
Account Receivable>Unbilled Encounters,Columns,Incident-to Ervc,Incident To Encounter Billing Indicator,172,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd 24,Condition Codes,173,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd 25,Condition Codes,174,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd26,Condition Codes,175,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd 27,Condition Codes,176,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd26,Condition Codes,177,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd27,Condition Codes,178,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd 28,Condition Codes,179,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd 29,Condition Codes,180,35
Account Receivable>Unbilled Encounters,Columns,UB Cond Cd 30,Condition Codes,181,35
Account Receivable>Unbilled Encounters,Columns,FQHC,Federally Qualifying Health Claim Indicator,182,35
Account Receivable>Unbilled Encounters,Columns,FQHC Update Dt,Federally Qualifying Health Claim Update Date,183,35
Account Receivable>Unbilled Encounters,Columns,Mrkt Ran Name,Marketing Plan Name,184,35
Account Receivable>Unbilled Encounters,Columns,Mrkt Flan Type,Marketing Plan Type,185,35
Account Receivable>Unbilled Encounters,Columns,Mrkt Desc,Marketing Description,186,35
Account Receivable>Unbilled Encounters,Columns,Mrkt Comments,Marketing Plan Comments,187,35
Account Receivable>Unbilled Encounters,Columns,Community Code,Community Code,188,35
Account Receivable>Unbilled Encounters,Columns,Prim Care Rhys,Primary Care Physician,189,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 2,Report Type 2,190,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 2,Report Transcation Code 2,191,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 2,Control Number 2,192,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 3,Report Type 3,193,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 3,Report Transcation Code 3,194,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 3,Control Number 3,195,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 4,Report Type 4,196,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 4,Report Transcation Code 4,197,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 4,Control Number 4,198,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 4,Report Transcation Code 4,199,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 4,Control Number 4,200,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 5,Report Type 5,201,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 5,Report Transcation Code 5,202,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 5,Control Number 5,203,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 6,Report Type 6,204,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 6,Report Transcation Code 6,205,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 6,Control Number 6,206,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 7,Report Type 7,207,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 7,Report Transcation Code 7,208,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 7,Control Number 7,209,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 8,Report Type 8,210,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 8,Report Transcation Code 8,211,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 8,Control Number 8,212,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 9,Report Type 9,213,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 9,Report Transcation Code 9,214,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 9,Control Number 9,215,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 10,Report Type 10,216,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 10,Report Transcation Code 10,217,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 10,Control Number 10,218,35
Account Receivable>Unbilled Encounters,Columns,Vsn Code Cat,Vision Code Category,219,35
Account Receivable>Unbilled Encounters,Columns,Vsn Cnd Ind Cd,Vision Condition Indicator Code,220,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 9,Control Number 9,221,35
Account Receivable>Unbilled Encounters,Columns,Rpt Type 10,Report Type 10,222,35
Account Receivable>Unbilled Encounters,Columns,Rpt Trans Cd 10,Report Transcation Code 10,223,35
Account Receivable>Unbilled Encounters,Columns,Ctrl Nbr 10,Control Number 10,224,35
Account Receivable>Unbilled Encounters,Columns,Vsn Code Cat,Vision Code Category,225,35
